marital,divorce,divorce_noanswer,divorce_ds_no,divorce_ds_yes,childs,childs_9,childs_8,childs_7,childs_6,childs_5,childs_4,childs_3,childs_2,childs_1,childs_0,age,educ,sex,race,race_other,race_black,race_white,relig,relig_internondenominational,relig_hinduism,relig_christian,relig_jewish,relig_dontknow,relig_orthodoxchristian,relig_catholic,relig_none,relig_protestant,relig_buddhism,relig_nativeamerican,relig_other,relig_noanswer,relig_muslim,relig_othereastern,xmovie,pornlaw,pornlaw_legal,pornlaw_dontknow,pornlaw_illegal,pornlaw_illegalillegal8,pornlaw_noanswer,hapmar
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1.302355722776822,-1.7649710021327207,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.7288630302171307,0.8937401357314673,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.16323671376461138,-0.2879092588748385,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2.3856196976117947,-3.8328574426937556,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.9837486713547714,-0.5833216075264149,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.8563058507859511,-0.2879092588748385,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.2828131582262597,-2.9466203967390263,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,-0.35440094461784183,-0.2879092588748385,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.6092865857554824,0.3029154384283144,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.09164892737302922,-1.7649710021327207,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
